TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes,EMA_Pattern,Risk_Range,ATR_Range,RangeSize_Category,ShouldAvoid
,2025-04-04 16:50:00,SELL,3070.5,3101.05,3009.4,30.550000000000185,1630,3101.05,3070.78,3087.117709925639,3096.4297450825807,3099.9532792729447,3086.861191743601,11.809489411438047,0.3846112819227503,1.3364279915045607,0,0,0.0,0.0,0,0,0,2025-04-07 02:00:00,3009.4,61.10000000000037,2.0,TP_HIT,16.0,4.0,30.269999999999985,0.9858329262335118,Very Large (>0.3%),254.0,,,,,,,,,,000,20+,1.2-1.5,>10,False
169.0,2025-04-07 03:15:00,SELL,2999.05,3016.6,2963.9500000000007,17.549999999999727,300,3016.6,3004.27,3010.4980060885737,3017.249430649455,3024.337831612047,3080.845911913445,9.06556306165283,0.30228115775505,0.9576574121353276,0,0,0.0,0.0,0,0,0,2025-04-07 05:20:00,3016.6,-17.549999999999727,-1.0,SL_HIT,3.0,0.0,12.329999999999927,0.4111301912272195,Very Large (>0.3%),255.0,True,945.0,42.78999999999997,True,169.0,0.3900000000003274,12.019999999999982,False,,000,15-20,0.8-1.0,>10,False
171.0,2025-04-07 16:50:00,BUY,3032.1,3014.7,3066.9,17.40000000000009,1630,3030.13,3014.7,3026.576346605073,3029.156892200899,3029.8942830828164,3074.0741207215738,6.335103786368033,0.208934526775767,1.226036332812844,0,0,0.0,0.0,0,0,0,2025-04-07 17:30:00,3014.7,-17.40000000000009,-1.0,SL_HIT,16.0,0.0,15.430000000000293,0.5088882292800465,Very Large (>0.3%),257.0,False,,5.869999999999891,True,171.0,1.9299999999998363,1.9700000000002549,False,,000,15-20,1.2-1.5,>10,False
173.0,2025-04-08 10:15:00,BUY,3009.57,3002.46,3023.7900000000004,7.110000000000127,1000,3006.38,3002.46,3005.0911921432967,3002.900880640506,2999.717609837951,3061.02864771101,3.5059520351968194,0.1164934537225191,1.1140637037175325,0,0,0.0,0.6666666666666666,1,1,0,2025-04-08 11:40:00,3002.46,-7.110000000000127,-1.0,SL_HIT,10.0,1.0,3.9200000000000728,0.1302511654488871,Small (0.1-0.15%),259.0,True,1350.0,42.98999999999978,True,173.0,2.289999999999964,1.2399999999997815,False,,110,5-10,1.0-1.2,3-5,False
,2025-04-09 10:15:00,BUY,3025.63,3014.93,3047.0300000000007,10.700000000000273,1000,3025.17,3014.93,3018.9311128250283,3015.643617282848,3009.4189063057865,3048.5898943651555,5.018709319634108,0.1658732006105871,1.198128382316843,0,0,0.0,0.6666666666666666,1,1,0,2025-04-09 11:10:00,3047.0300000000007,21.400000000000546,2.0,TP_HIT,10.0,2.0,10.240000000000236,0.3384419112713793,Very Large (>0.3%),262.0,,,,,,,,,,110,10-15,1.0-1.2,>10,False
,2025-04-09 17:05:00,BUY,3055.5,3043.94,3078.62,11.559999999999944,1630,3055.06,3043.94,3051.158290125602,3052.543239393248,3049.368510349447,3048.812389496132,6.925738293894481,0.226664647157404,1.062213882380129,0,0,0.0,0.6666666666666666,0,1,1,2025-04-09 18:15:00,3078.62,23.11999999999989,2.0,TP_HIT,17.0,2.0,11.11999999999989,0.363933889707082,Very Large (>0.3%),263.0,,,,,,,,,,011,10-15,1.0-1.2,>10,False
,2025-04-10 03:25:00,BUY,3085.5,3079.67,3097.16,5.829999999999927,300,3084.1,3079.67,3082.475130316476,3082.435390643976,3081.401019019901,3051.50503621336,3.62243312122519,0.1174018188697193,0.7547956183340568,0,1,0.5,1.0,1,1,1,2025-04-10 04:30:00,3097.16,11.659999999999854,2.0,TP_HIT,3.0,3.0,4.429999999999836,0.1435747852860099,Small (0.1-0.15%),264.0,,,,,,,,,,111,5-10,<0.8,3-5,False
176.0,2025-04-10 17:20:00,BUY,3134.85,3116.4,3171.7499999999995,18.44999999999981,1630,3133.96,3116.4,3127.57084300138,3125.118905637859,3121.559072374097,3059.9139719488503,5.25455174193171,0.1676173259304818,1.152044757163251,0,0,0.0,1.0,1,1,1,2025-04-10 17:55:00,3116.4,-18.44999999999981,-1.0,SL_HIT,17.0,3.0,17.559999999999945,0.5601543933521522,Very Large (>0.3%),266.0,True,95.0,109.20000000000029,True,176.0,4.980000000000018,5.190000000000055,False,,111,15-20,1.0-1.2,>10,False
,2025-04-11 10:25:00,BUY,3202.69,3190.27,3227.53,12.420000000000073,1000,3202.04,3190.27,3198.6589914026026,3202.466525043448,3205.8711589240024,3078.7323296571185,6.185829218192845,0.1931448007204208,1.2462283280293251,0,0,0.0,0.3333333333333333,0,0,1,2025-04-11 13:50:00,3227.53,24.840000000000146,2.0,TP_HIT,10.0,4.0,11.769999999999982,0.3675035673137263,Very Large (>0.3%),268.0,,,,,,,,,,001,10-15,1.2-1.5,>10,False
180.0,2025-04-14 17:10:00,SELL,3196.47,3214.08,3161.2499999999995,17.610000000000127,1630,3214.08,3200.63,3206.6158466681227,3212.2585901590983,3217.2666926621946,3117.393089741224,5.763276130801448,0.1803012739303496,1.4074237456291383,0,0,0.0,0.3333333333333333,0,0,1,2025-04-14 18:45:00,3214.08,-17.610000000000127,-1.0,SL_HIT,17.0,0.0,13.449999999999818,0.4207766692632754,Very Large (>0.3%),272.0,False,,0.1299999999996544,True,180.0,0.849999999999909,2.7100000000000364,False,,001,15-20,1.2-1.5,>10,False
182.0,2025-04-15 10:35:00,BUY,3228.44,3223.22,3238.880000000001,5.220000000000255,1000,3227.84,3223.22,3226.787596575309,3226.4677869635443,3225.16534052353,3132.0384536131114,2.4467916166062493,0.0757886662476691,1.0592562664821648,0,0,0.0,1.0,1,1,1,2025-04-15 11:10:00,3223.22,-5.220000000000255,-1.0,SL_HIT,10.0,1.0,4.620000000000346,0.1431031705715561,Small (0.1-0.15%),274.0,True,925.0,69.55999999999995,True,182.0,0.6700000000000728,1.2599999999997635,False,,111,5-10,1.0-1.2,3-5,False
184.0,2025-04-16 17:20:00,SELL,3300.36,3312.54,3276.0000000000005,12.179999999999836,1630,3312.54,3302.52,3305.9128306427547,3305.956916839491,3303.833524541124,3165.229348293812,4.78040534191244,0.1448449666676495,1.1032875819010133,0,1,0.5,0.6666666666666666,0,1,1,2025-04-16 17:55:00,3312.54,-12.179999999999836,-1.0,SL_HIT,17.0,2.0,10.019999999999982,0.3036032432825504,Very Large (>0.3%),278.0,False,,-4.879999999999654,False,184.0,2.1799999999998363,6.809999999999945,False,,011,10-15,1.0-1.2,>10,False
185.0,2025-04-17 04:00:00,SELL,3346.09,3353.44,3331.3900000000003,7.349999999999909,300,3353.44,3348.9,3349.73928063697,3349.525515053249,3345.0150654435297,3181.462885675264,2.9149143999569347,0.0871140465425895,1.1955713640293617,0,1,0.5,1.0,1,1,1,2025-04-17 05:15:00,3353.44,-7.349999999999909,-1.0,SL_HIT,4.0,3.0,4.539999999999964,0.1356807497706267,Small (0.1-0.15%),279.0,True,15.0,62.25,True,185.0,0.9600000000000364,1.2800000000002,False,,111,5-10,1.0-1.2,3-5,False
,2025-04-21 04:00:00,BUY,3353.54,3343.45,3373.7200000000003,10.090000000000146,300,3351.6,3343.45,3348.6672846000647,3345.230277047913,3336.475342641739,3212.850193590674,4.155024957596625,0.1238996689348159,0.9552387005022324,0,1,0.5,1.0,1,1,1,2025-04-21 05:00:00,3373.7200000000003,20.18000000000029,2.0,TP_HIT,4.0,0.0,8.150000000000091,0.2430267717098973,Large (0.2-0.3%),282.0,,,,,,,,,,111,10-15,0.8-1.0,7-10,False
