TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes,Risk_Range,ATR_Range,ShouldAvoid,HighRisk,AvoidConsolidation,AvoidTrade
,2024-11-26 03:30:00,SELL,2623.79,2627.91,2615.55,4.119999999999891,300,2627.91,2625.01,2626.1212630747023,2626.222630069974,2627.130838929325,2647.6524503886885,1.4285582527445977,0.0544463639523207,1.1272693415416446,0,1,0.5,0.0,0,0,0,2024-11-26 03:40:00,2615.55,8.239999999999782,2.0,TP_HIT,3.0,1.0,2.899999999999636,0.1105271382237007,Small (0.1-0.15%),32.0,,,,,,,,,,0-5,1.0-1.2,False,False,False,False
,2024-11-26 10:15:00,SELL,2622.68,2625.95,2616.14,3.269999999999982,1000,2625.95,2622.84,2623.458835051861,2624.12282737168,2625.1902085282168,2646.134290430696,2.2357961748006465,0.0852485310751081,1.1595437627995155,0,0,0.0,0.0,0,0,0,2024-11-26 11:25:00,2616.14,6.539999999999964,2.0,TP_HIT,10.0,1.0,3.1099999999996726,0.1185809934875651,Small (0.1-0.15%),33.0,,,,,,,,,,0-5,1.0-1.2,False,False,False,False
18.0,2024-11-26 17:00:00,BUY,2637.63,2629.69,2653.51,7.940000000000055,1630,2632.85,2629.69,2632.523714571997,2631.6142700591167,2628.9874197036283,2644.7525217503903,2.768359272922205,0.1049563158184508,1.3825846571229714,0,0,0.0,0.6666666666666666,1,1,0,2024-11-26 17:45:00,2629.69,-7.940000000000055,-1.0,SL_HIT,17.0,1.0,3.1599999999998545,0.1198045214832957,Small (0.1-0.15%),34.0,True,1150.0,17.38000000000011,True,18.0,6.3400000000001455,4.070000000000164,False,,5-10,1.2-1.5,False,False,False,False
19.0,2024-11-27 03:30:00,BUY,2633.92,2630.16,2641.4400000000005,3.7600000000002174,300,2632.6,2630.16,2632.1441873119347,2631.589764656146,2629.979330338825,2643.323598478307,1.2229542857115503,0.0464309578769116,1.0441786413205651,0,1,0.5,0.6666666666666666,1,1,0,2024-11-27 04:15:00,2630.16,-3.7600000000002174,-1.0,SL_HIT,3.0,2.0,2.4400000000000546,0.0926375896002936,Very Small (<0.1%),35.0,True,315.0,24.279999999999745,True,19.0,0.7400000000002365,0.9299999999998364,False,,0-5,1.0-1.2,False,False,False,False
,2024-11-27 10:20:00,BUY,2643.45,2638.97,2652.41,4.480000000000018,1000,2643.27,2638.97,2641.89975529165,2641.0942103887446,2638.8829468996746,2642.944401866113,2.143043288088037,0.081069938454975,1.5036064999511105,0,0,0.0,1.0,1,1,1,2024-11-27 12:55:00,2652.41,8.960000000000036,2.0,TP_HIT,10.0,2.0,4.300000000000182,0.162666212714452,Medium (0.15-0.2%),36.0,,,,,,,,,,0-5,>1.5,False,False,False,False
20.0,2024-11-27 16:50:00,SELL,2650.62,2655.01,2641.8399999999992,4.390000000000327,1630,2655.01,2651.9,2652.1009326371413,2651.2272536700893,2649.5909525501115,2643.3496558483744,1.742851080054655,0.0657525816622018,0.966221004376378,0,0,0.0,1.0,1,1,1,2024-11-27 17:50:00,2655.01,-4.390000000000327,-1.0,SL_HIT,16.0,2.0,3.110000000000128,0.1173310395303788,Small (0.1-0.15%),37.0,True,70.0,29.69999999999981,True,20.0,0.2300000000000182,8.650000000000091,False,,0-5,0.8-1.0,False,False,False,False
21.0,2024-11-28 03:25:00,SELL,2636.27,2638.04,2632.73,1.7699999999999818,300,2638.04,2636.32,2636.640341259037,2636.6819558587954,2637.5545172038564,2643.110791002553,0.8175086796917735,0.0310100513108207,0.8144116808143134,0,1,0.5,0.0,0,0,0,2024-11-28 04:35:00,2638.04,-1.7699999999999818,-1.0,SL_HIT,3.0,3.0,1.7199999999998,0.0652436965864573,Very Small (<0.1%),38.0,True,25.0,15.349999999999907,True,21.0,1.0100000000002185,5.139999999999873,False,,0-5,0.8-1.0,False,False,False,False
,2024-11-28 10:20:00,BUY,2634.32,2631.86,2639.24,2.4600000000000364,1000,2633.97,2631.86,2632.976158614664,2632.340387845765,2631.737779221347,2642.3656033622574,1.4917577098158508,0.0566278094466826,1.080715299622632,0,1,0.5,0.6666666666666666,1,1,0,2024-11-28 10:45:00,2639.24,4.920000000000073,2.0,TP_HIT,10.0,3.0,2.1099999999996726,0.0800965714112056,Very Small (<0.1%),39.0,,,,,,,,,,0-5,1.0-1.2,False,False,False,False
22.0,2024-11-28 17:00:00,SELL,2643.56,2647.23,2636.22,3.6700000000000728,1630,2647.23,2645.57,2645.683649393897,2646.0037991194054,2644.9221248025547,2642.547923332728,1.5776640174028165,0.0596795237256887,1.1945782700116634,0,1,0.5,0.6666666666666666,0,1,1,2024-11-28 17:45:00,2647.23,-3.6700000000000728,-1.0,SL_HIT,17.0,3.0,1.6599999999998545,0.0627941109715631,Very Small (<0.1%),40.0,True,665.0,9.529999999999744,True,22.0,1.1099999999996726,0.900000000000091,False,,0-5,1.0-1.2,False,False,False,False
23.0,2024-11-29 03:35:00,SELL,2637.54,2639.4,2633.82,1.860000000000128,300,2639.4,2637.58,2638.1893735337108,2638.8041777941366,2639.928117698895,2642.3544192312206,0.8144908247924488,0.0308807003796131,1.0424598459059873,0,0,0.0,0.0,0,0,0,2024-11-29 05:10:00,2639.4,-1.860000000000128,-1.0,SL_HIT,3.0,4.0,1.820000000000164,0.0690036928349963,Very Small (<0.1%),41.0,False,,-0.6900000000000546,False,23.0,0.9400000000000546,2.570000000000164,False,,0-5,1.0-1.2,False,False,False,False
,2024-11-29 10:15:00,SELL,2661.94,2666.37,2653.0800000000004,4.429999999999836,1000,2666.37,2661.95,2662.9323969377588,2661.764225177993,2658.23569011451,2643.2297311478605,2.1939665946912763,0.08241983646105,1.3742444003503205,0,1,0.5,1.0,1,1,1,2024-11-29 18:45:00,2653.0800000000004,8.859999999999673,2.0,TP_HIT,10.0,4.0,4.420000000000073,0.1660443135457626,Medium (0.15-0.2%),42.0,,,,,,,,,,0-5,1.2-1.5,False,False,False,False
,2024-11-29 18:50:00,SELL,2654.91,2663.01,2638.709999999999,8.100000000000364,1630,2663.01,2659.28,2657.0488361248863,2658.285361166611,2659.5225790988493,2644.476789014088,2.91248526061236,0.1097018452833565,1.16642341418609,0,0,0.0,0.3333333333333333,0,0,1,2024-12-02 04:40:00,2638.709999999999,16.200000000000728,2.0,TP_HIT,18.0,4.0,3.730000000000018,0.1404944047067516,Small (0.1-0.15%),43.0,,,,,,,,,,5-10,1.0-1.2,False,False,False,False
