feature,importance
WindowID_2025-08-28_0300,0.00018126653268403834
WindowID_2025-07-25_1000,0.00018090266461928583
WindowID_2025-01-28_1630,0.0001801820576617483
WindowID_2025-02-07_1630,0.0001801614965717937
WindowID_2025-02-21_0300,0.00017858275297417877
WindowID_2025-07-16_0300,0.00017668026273316129
WindowID_2025-10-29_0300,0.00017537966008115665
WindowID_2025-04-22_1000,0.00017505117512346783
WindowID_2025-05-02_1000,0.00017248613279926842
WindowID_2025-04-09_1630,0.00017228907527919854
WindowID_2025-04-10_1000,0.00017198021881790156
WindowID_2025-06-25_1630,0.0001719730784464604
WindowID_2025-05-21_1630,0.0001718949716984041
WindowID_2025-05-23_0300,0.000171710922831204
WindowID_2025-10-17_0300,0.0001712875783851318
WindowID_2025-08-11_1000,0.00017128041676654646
WindowID_2025-10-06_1000,0.00017114886311040485
WindowID_2025-05-12_1630,0.00017111253796892693
WindowID_2025-07-10_1000,0.0001693389360323901
WindowID_2025-03-14_0300,0.00016835148838566046
WindowID_2025-03-27_1000,0.00016651900827146778
WindowID_2025-08-22_1000,0.00016634099722631464
WindowID_2025-03-27_1630,0.00016573454210739075
WindowID_2025-10-30_0300,0.0001655561860260816
WindowID_2025-04-08_0300,0.00016523440079707513
WindowID_2025-08-27_1630,0.0001649057512107282
WindowID_2025-04-24_1630,0.000164467475042623
WindowID_2025-05-20_1000,0.0001638235430095055
WindowID_2025-05-19_1630,0.00016374180908876123
WindowID_2025-08-04_0300,0.00016335325350263485
WindowID_2025-07-28_1000,0.00016328998474122848
WindowID_2025-08-05_0300,0.00016277916461023082
WindowID_2025-10-14_1630,0.0001626739494306357
WindowID_2024-12-11_0300,0.00016230682479322553
WindowID_2024-12-20_0300,0.00016211932172976816
WindowID_2025-11-04_0300,0.00016142426461299164
WindowID_2025-08-29_0300,0.00016063175871758805
WindowID_2024-12-24_0300,0.00015985845326475695
WindowID_2025-09-02_0300,0.00015954543225008472
WindowID_2025-02-10_0300,0.00015927252510343829
WindowID_2025-03-03_1000,0.00015920492333553005
WindowID_2025-01-10_1630,0.00015862021522428823
WindowID_2025-03-11_1630,0.00015698716750142062
WindowID_2025-04-28_1000,0.00015678445394019626
WindowID_2025-05-13_1630,0.0001557898751673141
WindowID_2025-04-25_1000,0.00015526341045187674
WindowID_2025-02-06_0300,0.00015497350512950534
WindowID_2025-03-04_1630,0.00015450972606425052
WindowID_2025-01-27_1630,0.00015444750983380397
WindowID_2025-07-22_1000,0.00015417079784214594
WindowID_2025-02-19_0300,0.0001531919619369467
WindowID_2025-05-20_0300,0.000152509475928759
WindowID_2025-03-18_1630,0.00015147689459701653
WindowID_2025-04-16_0300,0.0001514032176781227
WindowID_2025-04-30_0300,0.0001508844246923475
WindowID_2025-01-06_0300,0.00015067890157100775
WindowID_2025-08-15_1630,0.00015064374706339558
WindowID_2025-02-12_1000,0.00015015841646646335
WindowID_2025-06-05_1630,0.00014991201416482004
WindowID_2025-06-19_1630,0.00014981712219258716
WindowID_2025-03-14_1630,0.00014870765673264034
WindowID_2025-05-15_1000,0.0001482930180248211
WindowID_2025-02-21_1630,0.00014790575660179328
WindowID_2025-06-24_0300,0.00014789597062512562
WindowID_2025-09-08_0300,0.000147425668703241
WindowID_2025-11-03_1630,0.00014718818221068326
WindowID_2024-12-02_1630,0.00014675277032486314
WindowID_2025-01-20_1000,0.00014661559329223143
WindowID_2025-04-21_1000,0.00014470832239586262
WindowID_2025-06-09_1000,0.00014446988048220553
WindowID_2025-03-11_0300,0.0001437705184814112
WindowID_2025-05-06_0300,0.00014359252322073914
WindowID_2025-02-11_0300,0.00014254639794479876
WindowID_2025-03-13_0300,0.00014071443731704844
WindowID_2024-12-02_0300,0.00014058550724841285
WindowID_2025-04-17_0300,0.00013912571094470218
WindowID_2024-12-05_0300,0.00013909283232355513
WindowID_2025-07-22_1630,0.0001380110694335375
WindowID_2025-10-30_1630,0.00013725056806151333
WindowID_2025-06-18_1000,0.00013623993866012616
WindowID_2024-12-04_1000,0.00013617974245313424
WindowID_2025-07-11_1630,0.0001359378698628654
WindowID_2024-12-23_0300,0.00013561601672898001
WindowID_2025-10-30_1000,0.0001354547428090766
WindowID_2025-06-05_0300,0.00013478603425323956
WindowID_2025-05-09_1630,0.0001346439577172319
WindowID_2025-04-17_1000,0.0001334407071207037
WindowID_2025-11-05_1000,0.00013303002966989622
WindowID_2025-07-14_0300,0.00013188807790686912
WindowID_2025-02-06_1000,0.0001310242752690955
WindowID_2025-05-16_1630,0.0001307457382203982
WindowID_2025-05-05_0300,0.0001298677393055472
WindowID_2025-07-14_1000,0.00012930980704196034
WindowID_2025-06-06_1000,0.00012778945146028022
WindowID_2025-06-03_1630,0.00012681016869009942
WindowID_2025-05-13_0300,0.00012650954952169848
WindowID_2025-08-04_1630,0.00012627100646144424
WindowID_2025-02-13_0300,0.0001260055400179417
WindowID_2025-02-17_1000,0.00012557938990600235
WindowID_2025-10-03_1630,0.000125280456515349
WindowID_2025-10-21_0300,0.00012508840337046721
WindowID_2024-12-13_0300,0.00012481071816913903
WindowID_2025-02-13_1000,0.0001233255157754447
WindowID_2024-12-26_0300,0.00012154219879294605
WindowID_2025-05-27_1000,0.00012108868099508127
WindowID_2025-07-30_0300,0.00012074550189637323
WindowID_2025-08-12_1630,0.00011954314307041544
WindowID_2025-03-06_1630,0.00011912813289167405
WindowID_2025-01-03_0300,0.0001179155955561698
WindowID_2025-05-26_0300,0.00011737893903789327
WindowID_2025-02-03_1630,0.0001172179045930381
WindowID_2025-01-16_0300,0.00011631660037153642
WindowID_2025-10-28_1630,0.0001156690547398449
WindowID_2025-04-09_0300,0.00011565805686033501
WindowID_2025-02-10_1000,0.00011553241201254906
WindowID_2025-06-09_1630,0.00011547481188143372
WindowID_2025-03-17_1000,0.00011464725504362184
WindowID_2025-04-02_1630,0.00011360339612117478
WindowID_2025-02-10_1630,0.00011261896765218886
WindowID_2025-01-14_1000,0.0001125709919723009
WindowID_2025-04-10_0300,0.00011246130949768763
WindowID_2025-10-20_1630,0.00011245976462748508
WindowID_2025-01-27_0300,0.00011239842468573645
WindowID_2025-09-22_1630,0.0001100764475533133
WindowID_2025-07-29_1630,0.00010952822364171603
WindowID_2025-03-07_1630,0.00010860499368825561
WindowID_2025-08-27_0300,0.00010740632462776965
WindowID_2025-04-11_1000,0.00010678530988156793
WindowID_2025-02-28_1000,0.00010671640326918206
WindowID_2024-12-12_1630,0.00010671181184958084
WindowID_2024-12-31_1000,0.000104816513188277
WindowID_2025-04-25_1630,0.0001042935318782024
WindowID_2025-07-23_1630,0.0001038083302054978
WindowID_2025-03-19_1000,0.00010092586056763113
WindowID_2025-07-04_1630,0.00010074792453457547
WindowID_2025-05-01_1630,0.00010027418390426073
WindowID_2025-02-03_0300,9.94434204490195e-05
WindowID_2024-12-11_1000,9.8531717728556e-05
WindowID_2024-12-20_1000,9.825886776429726e-05
WindowID_2025-02-24_1630,9.566010042457887e-05
WindowID_2025-03-17_1630,9.467897637563378e-05
WindowID_2025-04-23_0300,9.43395943866272e-05
WindowID_2025-03-19_1630,9.405718299387549e-05
WindowID_2025-05-15_1630,9.342899054043128e-05
WindowID_2025-05-02_1630,9.292409518599193e-05
WindowID_2025-07-23_0300,8.92204619643217e-05
WindowID_2025-04-07_1000,8.850462684615334e-05
WindowID_2024-12-30_1630,8.836983627296556e-05
WindowID_2025-02-27_1000,8.83133972392021e-05
WindowID_2025-04-24_1000,8.627164402652439e-05
WindowID_2025-10-24_0300,8.393160748961817e-05
WindowID_2025-01-09_1630,8.2442864525626e-05
WindowID_2025-07-02_0300,8.232113471713883e-05
WindowID_2024-12-24_1630,8.093866780441432e-05
WindowID_2025-09-23_0300,7.888653020069383e-05
WindowID_2025-02-04_1630,7.197175942928602e-05
WindowID_2025-04-10_1630,7.117818484008787e-05
WindowID_2025-02-14_0300,7.003245550671866e-05
WindowID_2025-05-26_1000,6.940494666812092e-05
WindowID_2024-11-28_0300,6.503686240300024e-05
WindowID_2024-12-17_1630,5.790132622568771e-05
