WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,Won
2025-04-25_1000,1000,BREAKOUT,SELL,2025-04-25 10:20:00,2025-04-25 16:00:00,190.66,191.229,191.229,189.52199999999996,0.5690000000000168,-0.5690000000000168,-1.0,SL_HIT,0.125,0.5709219858155861,0.6800426619561483,0.4440000000000168,191.007,-0.3470000000000084,2.41551153526833,1,0.18381199738327664,-0.7815315315315209,1.4636219243243913,1.0,0.0,0.0,0.0,190.90601919129412,190.89462045726066,190.78191131192017,190.36823177506616,189.12143396971524,0.18381199738327664,0.09471868889189251,1.4636219243243913,0.0,0.6666666666666666,0,0,1,1,1000,191.229,190.785,GBPJPY,0
2025-04-25_1630,1630,BREAKOUT,BUY,2025-04-25 17:50:00,2025-04-25 20:50:00,191.564,191.225,191.225,192.242,0.33899999999999864,-0.33899999999999864,-1.0,SL_HIT,0.04200000000000159,0.6160714285713538,0.3055893584050721,0.29699999999999704,191.37349999999998,0.19050000000001432,2.1609533201500493,1,0.13743934088283516,0.6414141414141961,1.028553903695315,1.0,0.0,0.0,0.0,191.44734933928532,191.3413464538125,191.15245259531451,190.7328641399288,189.2513659288471,0.13743934088283516,0.07184891285846838,1.028553903695315,0.0,1.0,0,0,1,1,1630,191.522,191.225,GBPJPY,0
2025-04-28_0300,0300,BREAKOUT,SELL,2025-04-28 03:35:00,2025-04-28 08:35:00,190.913,191.19,191.19,190.35900000000004,0.2769999999999868,-0.2769999999999868,-1.0,SL_HIT,0.007999999999981355,0.1649484536081417,0.07842743381764206,0.26900000000000546,191.0555,-0.14249999999998408,2.6371224621244136,0,0.1020051225771686,-0.5297397769516029,1.1865477840733158,0.3333333333333333,0.0,0.0,0.0,191.00622740317456,191.07735151231626,191.1378507159589,191.08397816169824,189.44979172879349,0.1020051225771686,0.05154466718359954,1.1865477840733158,0.0,0.3333333333333333,0,0,0,1,0300,191.19,190.921,GBPJPY,0
2025-04-28_1000,1000,BREAKOUT,SELL,2025-04-28 10:40:00,2025-04-28 11:25:00,191.156,191.313,191.313,190.84200000000004,0.15699999999998226,-0.15699999999998226,-1.0,SL_HIT,0.003999999999990678,0.08988764044923009,0.04205128993767851,0.1529999999999916,191.23649999999998,-0.08049999999997226,1.6084618401198632,1,0.09512193337989913,-0.5261437908495208,1.0931691513604345,1.0,0.0,0.0,0.0,191.20918548496118,191.18516612273623,191.10893183261567,191.04871622268325,189.554368886429,0.09512193337989913,0.0496696488967942,1.0931691513604345,0.5,1.0,0,1,1,1,1000,191.313,191.16,GBPJPY,0
2025-04-28_1630,1630,BREAKOUT,SELL,2025-04-28 17:05:00,2025-04-28 17:35:00,191.225,191.409,191.409,190.857,0.1839999999999975,-0.1839999999999975,-1.0,SL_HIT,0.02400000000000091,0.17948717948732273,0.24539972743291655,0.1599999999999966,191.329,-0.10400000000001342,1.6359981828860135,1,0.09779961962900569,-0.6500000000000977,1.1900316915566782,0.3333333333333333,0.0,0.0,0.0,191.27137175879105,191.27300709348873,191.27544168165852,191.1835268853574,189.6724136114157,0.09779961962900569,0.05002561774835366,1.1900316915566782,0.0,0.6666666666666666,0,0,1,1,1630,191.409,191.249,GBPJPY,0
2025-04-29_0300,0300,BREAKOUT,SELL,2025-04-29 03:50:00,2025-04-29 04:40:00,190.848,191.056,191.056,190.43200000000002,0.2079999999999984,-0.2079999999999984,-1.0,SL_HIT,0.01999999999998181,0.9133858267714703,0.23798897988343762,0.1880000000000166,190.962,-0.1139999999999759,2.237096410906546,0,0.0840375046347836,-0.6063829787232226,1.1199036729059748,0.6666666666666666,0.0,0.0,0.0,190.94390657385176,190.98149167343016,190.97732588140002,191.02737446638076,189.79164008044228,0.0840375046347836,0.043259895918549195,1.1199036729059748,0.0,0.3333333333333333,0,0,0,1,0300,191.056,190.868,GBPJPY,0
2025-04-29_1000,1000,BREAKOUT,BUY,2025-04-29 11:20:00,2025-04-29 13:45:00,191.179,190.948,190.948,191.641,0.23099999999999454,-0.23099999999999454,-1.0,SL_HIT,0.057999999999992724,0.9457013574661838,0.533696139510626,0.17300000000000182,191.0345,0.14449999999999363,1.5918867609543252,1,0.10867607184338257,0.8352601156068908,1.153190807224405,1.0,0.0,0.0,0.0,191.04947741840206,191.03231093508222,191.0184066662841,191.02092003928473,189.88920435060626,0.10867607184338257,0.053381489097793604,1.153190807224405,0.0,1.0,0,0,1,1,1000,191.121,190.948,GBPJPY,0
2025-04-29_1630,1630,BREAKOUT,BUY,2025-04-29 16:55:00,2025-04-29 17:00:00,190.828,190.553,190.553,191.37800000000001,0.2750000000000057,-0.2750000000000057,-1.0,SL_HIT,0.07200000000000273,0.853773584905759,0.5774530907462807,0.20300000000000296,190.65449999999998,0.17350000000001842,1.6280969086318366,0,0.12468545264335218,0.8546798029557433,1.2202586120523784,0.3333333333333333,0.0,0.0,0.0,190.71444294057022,190.7821187090749,190.89124179189412,190.99633254803052,189.93893915291056,0.12468545264335218,0.07305404041622632,1.2202586120523784,0.0,0.3333333333333333,0,0,0,1,1630,190.756,190.553,GBPJPY,0
2025-04-30_0300,0300,BREAKOUT,BUY,2025-04-30 03:55:00,2025-04-30 05:25:00,190.956,190.673,190.673,191.52199999999996,0.28299999999998704,-0.28299999999998704,-1.0,SL_HIT,0.10099999999999909,0.7927927927927074,1.0418560566412334,0.18199999999998795,190.764,0.19199999999997885,1.8774039832543923,1,0.09694237448271492,1.0549450549450086,1.370320940267719,1.0,0.0,0.0,0.0,190.8026395844982,190.774745895608,190.74509925291906,190.7756229666371,190.01634615058282,0.09694237448271492,0.05267958877200777,1.370320940267719,0.0,1.0,0,0,1,1,0300,190.855,190.673,GBPJPY,0
2025-04-30_1000,1000,BREAKOUT,BUY,2025-04-30 10:25:00,2025-04-30 11:00:00,191.204,190.974,190.974,191.66400000000004,0.2300000000000182,-0.2300000000000182,-1.0,SL_HIT,0.010000000000019327,0.6551724137931598,0.11527095000731069,0.21999999999999886,191.084,0.12000000000000455,2.5359609001559207,1,0.08675212618083836,0.545454545454569,1.3505364518313951,1.0,0.0,0.0,0.0,191.09822382431284,191.0239755680471,190.92241818454582,190.81834132354925,190.0745535424677,0.08675212618083836,0.04442576098852066,1.3505364518313951,0.0,1.0,0,0,1,1,1000,191.194,190.974,GBPJPY,0
