<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250912,151500,3649.145,3650.565,3647.855,3649.935,0,0
XAUUSD,5,20250912,152000,3649.815,3650.485,3648.635,3649.775,0,0
XAUUSD,5,20250912,152500,3649.805,3650.245,3648.615,3648.805,0,0
XAUUSD,5,20250912,153000,3647.925,3651.105,3646.845,3650.545,0,0
XAUUSD,5,20250912,153500,3650.545,3650.685,3647.415,3650.085,0,0
XAUUSD,5,20250912,154000,3650.375,3652.585,3649.575,3651.185,0,0
XAUUSD,5,20250912,154500,3651.045,3652.205,3646.955,3649.535,0,0
XAUUSD,5,20250912,155000,3650.185,3652.565,3649.605,3651.755,0,0
XAUUSD,5,20250912,155500,3652.325,3652.325,3649.935,3649.995,0,0
XAUUSD,5,20250912,160000,3650.06,3653.245,3650.06,3652.215,0,0
XAUUSD,5,20250912,160500,3653.035,3653.355,3649.655,3650.965,0,0
XAUUSD,5,20250912,161000,3651.325,3652.985,3651.095,3652.205,0,0
XAUUSD,5,20250912,161500,3651.895,3653.675,3651.655,3653.375,0,0
XAUUSD,5,20250912,162000,3653.465,3654.135,3653.115,3654.085,0,0
XAUUSD,5,20250912,162500,3653.935,3654.295,3652.365,3652.765,0,0
XAUUSD,5,20250912,163000,3652.845,3653.525,3651.515,3652.075,0,0
XAUUSD,5,20250912,163500,3652.045,3652.045,3648.695,3650.085,0,0
XAUUSD,5,20250912,164000,3650.415,3650.745,3649.155,3650.335,0,0
XAUUSD,5,20250912,164500,3649.895,3650.065,3647.645,3649.125,0,0
XAUUSD,5,20250912,165000,3649.325,3650.135,3648.355,3648.955,0,0
XAUUSD,5,20250912,165500,3648.825,3649.625,3647.735,3648.135,0,0
XAUUSD,5,20250912,170000,3648.22,3648.245,3646.975,3647.595,0,0
XAUUSD,5,20250912,170500,3647.375,3647.375,3644.815,3645.715,0,0
XAUUSD,5,20250912,171000,3645.355,3646.185,3642.215,3644.145,0,0
XAUUSD,5,20250912,171500,3644.245,3645.705,3644.205,3644.365,0,0
XAUUSD,5,20250912,172000,3644.225,3644.635,3643.095,3643.635,0,0
XAUUSD,5,20250912,172500,3643.655,3644.635,3642.465,3644.635,0,0
XAUUSD,5,20250912,173000,3644.585,3646.585,3644.415,3646.575,0,0
XAUUSD,5,20250912,173500,3646.415,3647.155,3645.645,3645.705,0,0
XAUUSD,5,20250912,174000,3645.705,3647.325,3645.705,3646.985,0,0
XAUUSD,5,20250912,174500,3646.985,3646.985,3644.995,3645.865,0,0
XAUUSD,5,20250912,175000,3645.935,3646.735,3645.855,3646.155,0,0
XAUUSD,5,20250912,175500,3646.205,3646.305,3643.595,3644.475,0,0
XAUUSD,5,20250912,180000,3644.3,3645.265,3644.215,3644.275,0,0
XAUUSD,5,20250912,180500,3644.205,3644.655,3642.805,3642.935,0,0
XAUUSD,5,20250912,181000,3643.165,3643.805,3642.855,3643.755,0,0
XAUUSD,5,20250912,181500,3643.755,3644.645,3643.725,3644.115,0,0
XAUUSD,5,20250912,182000,3644.025,3646.465,3644.025,3646.115,0,0
XAUUSD,5,20250912,182500,3646.185,3647.045,3646.145,3646.735,0,0
XAUUSD,5,20250912,183000,3646.755,3647.435,3646.505,3647.185,0,0
XAUUSD,5,20250912,183500,3647.105,3647.445,3645.915,3646.685,0,0
XAUUSD,5,20250912,184000,3646.685,3647.425,3646.635,3647.265,0,0
