Local,Open,High,Low,Close,Volume
12.10.2016 12:15:00.000 UTC+03:00,1256.359,1256.369,1255.999,1256.028,0.14579999999999999
12.10.2016 12:20:00.000 UTC+03:00,1256.048,1256.089,1255.691,1255.909,0.12881
12.10.2016 12:25:00.000 UTC+03:00,1255.881,1255.949,1255.511,1255.582,0.10017
12.10.2016 12:30:00.000 UTC+03:00,1255.598,1255.759,1255.508,1255.698,0.14487000000000003
12.10.2016 12:35:00.000 UTC+03:00,1255.681,1256.219,1255.681,1255.729,0.11773000000000002
12.10.2016 12:40:00.000 UTC+03:00,1255.728,1255.829,1255.588,1255.719,0.09081
12.10.2016 12:45:00.000 UTC+03:00,1255.711,1256.28,1255.518,1255.828,0.14521
12.10.2016 12:50:00.000 UTC+03:00,1255.839,1255.888,1255.401,1255.519,0.14285
12.10.2016 12:55:00.000 UTC+03:00,1255.508,1255.749,1255.479,1255.681,0.09386
12.10.2016 13:00:00.000 UTC+03:00,1255.681,1255.719,1255.191,1255.199,0.13091
12.10.2016 13:05:00.000 UTC+03:00,1255.218,1255.399,1255.058,1255.058,0.13523000000000002
12.10.2016 13:10:00.000 UTC+03:00,1255.088,1255.789,1255.078,1255.769,0.15213
12.10.2016 13:15:00.000 UTC+03:00,1255.769,1255.809,1255.579,1255.77,0.11217
12.10.2016 13:20:00.000 UTC+03:00,1255.77,1255.989,1255.75,1255.808,0.13277
12.10.2016 13:25:00.000 UTC+03:00,1255.819,1255.889,1255.602,1255.689,0.11748
12.10.2016 13:30:00.000 UTC+03:00,1255.689,1255.759,1255.088,1255.168,0.17315
12.10.2016 13:35:00.000 UTC+03:00,1255.149,1255.149,1254.801,1254.948,0.16264
12.10.2016 13:40:00.000 UTC+03:00,1254.931,1255.069,1254.808,1254.989,0.10367
12.10.2016 13:45:00.000 UTC+03:00,1254.989,1255.148,1254.849,1255.078,0.1081
12.10.2016 13:50:00.000 UTC+03:00,1255.098,1255.239,1254.901,1254.919,0.10997
12.10.2016 13:55:00.000 UTC+03:00,1254.928,1255.04,1254.658,1254.751,0.23576000000000003
12.10.2016 14:00:00.000 UTC+03:00,1254.799,1254.918,1254.061,1254.139,0.28241
12.10.2016 14:05:00.000 UTC+03:00,1254.129,1254.459,1253.862,1254.259,0.17558
12.10.2016 14:10:00.000 UTC+03:00,1254.239,1254.979,1254.148,1254.868,0.158
12.10.2016 14:15:00.000 UTC+03:00,1254.862,1254.898,1254.238,1254.331,0.18319
12.10.2016 14:20:00.000 UTC+03:00,1254.331,1254.781,1254.308,1254.489,0.20945999999999998
12.10.2016 14:25:00.000 UTC+03:00,1254.478,1254.528,1253.759,1254.058,0.21795
12.10.2016 14:30:00.000 UTC+03:00,1254.058,1254.599,1253.848,1254.468,0.22698
12.10.2016 14:35:00.000 UTC+03:00,1254.488,1254.599,1254.248,1254.458,0.12483999999999999
12.10.2016 14:40:00.000 UTC+03:00,1254.458,1254.599,1254.028,1254.048,0.17128
12.10.2016 14:45:00.000 UTC+03:00,1254.029,1254.269,1253.588,1253.761,0.19955
12.10.2016 14:50:00.000 UTC+03:00,1253.768,1253.769,1253.158,1253.272,0.32212
12.10.2016 14:55:00.000 UTC+03:00,1253.272,1253.538,1253.068,1253.378,0.18702
12.10.2016 15:00:00.000 UTC+03:00,1253.378,1253.959,1253.362,1253.579,0.22631
12.10.2016 15:05:00.000 UTC+03:00,1253.589,1253.589,1251.201,1251.452,0.32569000000000004
12.10.2016 15:10:00.000 UTC+03:00,1251.452,1252.221,1249.739,1252.221,0.44854000000000005
12.10.2016 15:15:00.000 UTC+03:00,1252.219,1252.261,1251.228,1251.818,0.32219
12.10.2016 15:20:00.000 UTC+03:00,1251.779,1252.389,1251.398,1252.201,0.29557000000000005
12.10.2016 15:25:00.000 UTC+03:00,1252.189,1253.481,1251.738,1252.598,0.39642
12.10.2016 15:30:00.000 UTC+03:00,1252.619,1254.02,1252.438,1253.272,0.3345
12.10.2016 15:35:00.000 UTC+03:00,1253.279,1253.482,1252.772,1253.048,0.20126999999999998
12.10.2016 15:40:00.000 UTC+03:00,1253.079,1253.188,1252.341,1252.929,0.23623
12.10.2016 15:45:00.000 UTC+03:00,1252.929,1253.279,1252.682,1252.782,0.17839
12.10.2016 15:50:00.000 UTC+03:00,1252.758,1253.319,1252.552,1252.999,0.24312
12.10.2016 15:55:00.000 UTC+03:00,1253.014,1253.852,1252.709,1253.572,0.23528000000000004
12.10.2016 16:00:00.000 UTC+03:00,1253.579,1254.142,1253.068,1253.929,0.28346000000000005
12.10.2016 16:05:00.000 UTC+03:00,1253.909,1256.022,1253.829,1255.171,0.3733
12.10.2016 16:10:00.000 UTC+03:00,1255.171,1256.25,1255.061,1255.992,0.22255000000000003
12.10.2016 16:15:00.000 UTC+03:00,1255.992,1256.262,1254.858,1255.162,0.20379
12.10.2016 16:20:00.000 UTC+03:00,1255.162,1255.672,1254.781,1255.288,0.21463
12.10.2016 16:25:00.000 UTC+03:00,1255.288,1255.689,1255.079,1255.079,0.43479
12.10.2016 16:30:00.000 UTC+03:00,1255.08,1255.478,1254.241,1254.331,0.28618
12.10.2016 16:35:00.000 UTC+03:00,1254.332,1254.748,1253.611,1253.772,0.23519
12.10.2016 16:40:00.000 UTC+03:00,1253.772,1254.849,1253.772,1254.688,0.3226200000000001
12.10.2016 16:45:00.000 UTC+03:00,1254.658,1255.579,1254.521,1255.571,0.22264
12.10.2016 16:50:00.000 UTC+03:00,1255.571,1256.028,1255.461,1255.599,0.26127
12.10.2016 16:55:00.000 UTC+03:00,1255.598,1258.598,1255.559,1257.491,0.42996
12.10.2016 17:00:00.000 UTC+03:00,1257.491,1258.836,1256.488,1256.811,0.42558
12.10.2016 17:05:00.000 UTC+03:00,1256.811,1256.901,1255.799,1256.109,0.47644999999999993
12.10.2016 17:10:00.000 UTC+03:00,1256.108,1256.549,1255.648,1256.038,0.5044700000000001
12.10.2016 17:15:00.000 UTC+03:00,1256.019,1256.299,1255.398,1255.518,0.32987999999999995
12.10.2016 17:20:00.000 UTC+03:00,1255.499,1255.588,1254.828,1255.068,0.32737
12.10.2016 17:25:00.000 UTC+03:00,1255.098,1255.4,1254.948,1254.948,0.28095000000000003
12.10.2016 17:30:00.000 UTC+03:00,1254.969,1255.232,1253.968,1254.228,0.28277
12.10.2016 17:35:00.000 UTC+03:00,1254.239,1254.259,1253.209,1253.868,0.4939
12.10.2016 17:40:00.000 UTC+03:00,1253.878,1253.919,1253.228,1253.249,0.33923
12.10.2016 17:45:00.000 UTC+03:00,1253.239,1253.822,1253.198,1253.269,0.30285
12.10.2016 17:50:00.000 UTC+03:00,1253.238,1253.268,1252.602,1252.978,0.31016
12.10.2016 17:55:00.000 UTC+03:00,1252.969,1253.109,1252.579,1252.718,0.39663000000000004
12.10.2016 18:00:00.000 UTC+03:00,1252.788,1252.928,1251.658,1252.768,0.42349000000000003
12.10.2016 18:05:00.000 UTC+03:00,1252.788,1252.939,1250.672,1252.028,0.45588
12.10.2016 18:10:00.000 UTC+03:00,1252.008,1252.638,1251.599,1251.809,0.43678
12.10.2016 18:15:00.000 UTC+03:00,1251.809,1252.251,1251.268,1251.778,0.32038
12.10.2016 18:20:00.000 UTC+03:00,1251.759,1252.048,1251.15,1251.921,0.29436999999999997
12.10.2016 18:25:00.000 UTC+03:00,1251.9,1252.55,1251.699,1252.408,0.32586
12.10.2016 18:30:00.000 UTC+03:00,1252.399,1252.982,1251.571,1252.612,0.38794999999999996
12.10.2016 18:35:00.000 UTC+03:00,1252.602,1252.911,1251.941,1252.191,0.14550999999999997
12.10.2016 18:40:00.000 UTC+03:00,1252.089,1252.941,1251.722,1252.939,0.12359
12.10.2016 18:45:00.000 UTC+03:00,1252.939,1253.069,1252.581,1252.591,0.14967
12.10.2016 18:50:00.000 UTC+03:00,1252.599,1252.888,1252.461,1252.682,0.1562
12.10.2016 18:55:00.000 UTC+03:00,1252.668,1253.098,1252.641,1252.658,0.18799
12.10.2016 19:00:00.000 UTC+03:00,1252.689,1253.528,1252.658,1253.249,0.22253
12.10.2016 19:05:00.000 UTC+03:00,1253.269,1253.361,1252.799,1253.158,0.16122999999999998
