WindowID,EntryTime,Type,Status,MAE,MFE,BarsTracked,EntryPrice,StopPrice,TargetPrice,Bar1_Close,Bar3_Close,Bar5_Close,Bar10_Close
2025-08-14_1630,2025-08-14 16:45:00,BUY,SL_HIT,-32.88000000000102,74.36999999999898,20,23835.58,23746.45,24013.840000000004,23835.58,23840.08,23824.33,23877.7
2025-08-15_1630,2025-08-15 16:45:00,SELL,TP_HIT,-99.56000000000131,13.62999999999738,20,23692.78,23819.4,23439.539999999997,23692.78,23709.9,23776.08,23752.33
2025-08-19_1630,2025-08-19 18:05:00,SELL,TP_HIT,-39.340000000000146,65.31999999999971,20,23466.71,23685.9,23028.329999999994,23466.71,23489.07,23496.65,23478.01
2025-08-20_1630,2025-08-20 17:10:00,SELL,SL_HIT,-158.36999999999898,72.70000000000073,20,23029.95,23352.03,22385.790000000005,23029.95,23061.7,23021.01,22979.6
2025-08-22_1630,2025-08-22 17:05:00,BUY,SL_HIT,-83.17000000000189,82.96999999999753,20,23494.45,23133.78,24215.790000000005,23494.45,23491.59,23478.87,23546.21
2025-09-02_1630,2025-09-02 16:45:00,BUY,TP_HIT,-101.9800000000032,81.37999999999738,20,23151.9,22981.4,23492.9,23151.9,23183.9,23165.76,23202.57
2025-09-04_1630,2025-09-04 17:00:00,SELL,SL_HIT,-122.28999999999724,20.62000000000262,18,23389.9,23506.65,23156.4,23389.9,23395.53,23436.4,23478.15
2025-09-05_0300,2025-09-05 03:15:00,BUY,TP_HIT,-7.5,15.5,20,23687.28,23665.53,23730.78,23687.28,23689.53,23684.4,23694.15
2025-09-05_1000,2025-09-05 11:25:00,BUY,SL_HIT,-7.379999999997381,14.62000000000262,20,23740.03,23706.78,23806.53,23740.03,23739.4,23734.03,23743.28
2025-09-05_1630,2025-09-05 17:05:00,SELL,TP_HIT,-41.0,228.12999999999738,9,23759.28,23864.9,23548.039999999997,23759.28,23658.9,23617.65,
2025-09-08_0300,2025-09-08 03:55:00,SELL,SL_HIT,-15.0,28.37999999999738,20,23730.53,23757.65,23676.289999999997,23730.53,23728.78,23729.28,23742.03
2025-09-08_1630,2025-09-08 16:45:00,BUY,SL_HIT,-44.92000000000189,36.06999999999971,20,23815.65,23738.03,23970.890000000007,23815.65,23811.54,23819.2,23821.57
2025-09-09_0300,2025-09-09 04:20:00,SELL,SL_HIT,-34.12000000000262,5.129999999997381,11,23763.78,23794.4,23702.539999999997,23763.78,23762.9,23771.53,23791.4
2025-09-09_1000,2025-09-09 10:25:00,BUY,SL_HIT,-28.12999999999738,17.87000000000262,9,23834.78,23814.28,23875.78,23834.78,23839.28,23820.4,
2025-09-09_1630,2025-09-09 16:50:00,SELL,SL_HIT,-41.29999999999927,81.22999999999956,20,23774.77,23825.15,23674.01,23774.77,23762.45,23801.47,23709.33
2025-09-10_0300,2025-09-10 03:35:00,BUY,SL_HIT,-18.75,1.0,6,23868.78,23852.15,23902.039999999997,23868.78,23858.78,23857.03,
2025-09-10_1000,2025-09-10 11:00:00,SELL,SL_HIT,-11.0,47.37999999999738,20,23900.78,23924.53,23853.28,23900.78,23899.65,23888.03,23873.65
2025-09-10_1630,2025-09-10 16:50:00,SELL,SL_HIT,-71.05999999999767,15.12000000000262,20,23887.4,23970.9,23720.4,23887.4,23933.78,23928.84,23941.45
2025-09-11_1630,2025-09-11 17:35:00,BUY,TP_HIT,-36.62000000000262,32.43000000000029,20,23983.9,23886.28,24179.140000000007,23983.9,23977.9,23974.65,23998.68
2025-09-15_1630,2025-09-15 16:45:00,BUY,TP_HIT,-17.75,39.05999999999767,20,24210.9,24155.03,24322.640000000007,24210.9,24243.4,24232.65,24222.03
2025-09-16_0300,2025-09-16 05:35:00,BUY,TP_HIT,-6.43999999999869,12.470000000001164,20,24315.73,24281.9,24383.39,24315.73,24313.65,24312.57,24317.38
2025-09-16_1000,2025-09-16 11:50:00,BUY,SL_HIT,-26.639999999999418,3.139999999999418,20,24385.78,24324.29,24508.759999999995,24385.78,24386.05,24379.96,24359.14
2025-09-16_1630,2025-09-16 16:50:00,SELL,TP_HIT,-26.349999999998545,26.17000000000189,20,24281.58,24342.89,24158.960000000006,24281.58,24280.03,24280.73,24278.29
2025-09-17_1630,2025-09-17 18:10:00,SELL,SL_HIT,-11.0,59.0,20,24181.4,24291.28,23961.640000000007,24181.4,24173.03,24165.4,24160.65
2025-09-18_0300,2025-09-18 03:20:00,SELL,SL_HIT,-25.36999999999898,4.380000000001019,10,24313.63,24333.63,24273.63,24313.63,24315.38,24316.25,24334.5
2025-09-18_1000,2025-09-18 10:15:00,BUY,SL_HIT,-31.86999999999898,0.6300000000010186,3,24400.75,24369.63,24462.99,24400.75,24374.63,,
2025-09-18_1630,2025-09-18 17:00:00,BUY,TP_HIT,-27.75,90.62000000000262,20,24472.78,24374.15,24670.039999999997,24472.78,24499.78,24518.53,24517.65
2025-09-22_1630,2025-09-22 17:45:00,BUY,SL_HIT,-17.75,53.75,20,24671.15,24565.15,24883.15,24671.15,24682.28,24677.9,24658.15
2025-09-24_0300,2025-09-24 03:25:00,BUY,TP_HIT,-24.87999999999738,4.120000000002619,20,24601.28,24570.15,24663.539999999997,24601.28,24591.53,24598.28,24591.03
2025-09-24_1000,2025-09-24 11:10:00,BUY,SL_HIT,-15.5,10.5,20,24658.28,24605.65,24763.539999999997,24658.28,24646.78,24648.28,24654.78
2025-09-24_1630,2025-09-24 16:45:00,SELL,TP_HIT,-34.87999999999738,26.830000000001746,20,24563.9,24657.4,24376.9,24563.9,24579.9,24572.9,24559.19
2025-09-25_1630,2025-09-25 17:15:00,BUY,TP_HIT,-29.350000000002183,90.52999999999884,20,24370.31,24186.05,24738.830000000005,24370.31,24384.5,24396.15,24378.55
2025-09-29_1630,2025-09-29 17:10:00,BUY,SL_HIT,-118.86000000000058,14.62999999999738,18,24731.9,24624.65,24946.4,24731.9,24737.9,24726.15,24701.9
2025-09-30_0300,2025-09-30 03:35:00,BUY,SL_HIT,-18.37999999999738,11.62000000000262,20,24606.53,24583.65,24652.289999999997,24606.53,24613.28,24614.4,24605.03
2025-09-30_1000,2025-09-30 10:30:00,SELL,SL_HIT,-29.12000000000262,26.62999999999738,20,24559.28,24595.78,24486.28,24559.28,24543.65,24560.78,24563.03
2025-09-30_1630,2025-09-30 16:50:00,SELL,SL_HIT,-103.75,11.37000000000262,12,24510.9,24606.9,24318.9,24510.9,24576.28,24545.15,24534.9
2025-10-01_0300,2025-10-01 03:15:00,SELL,TP_HIT,-23.37999999999738,15.75,20,24578.15,24615.53,24503.390000000007,24578.15,24569.15,24572.78,24570.78
2025-10-01_1000,2025-10-01 11:30:00,BUY,TP_HIT,-32.25,56.12000000000262,20,24489.28,24415.78,24636.28,24489.28,24504.78,24504.78,24518.78
2025-10-01_1630,2025-10-01 17:20:00,BUY,TP_HIT,-19.25,67.62000000000262,20,24652.03,24522.15,24911.789999999997,24652.03,24677.65,24670.9,24691.4
2025-10-02_1630,2025-10-02 16:45:00,SELL,SL_HIT,-64.19999999999709,34.150000000001455,20,24815.15,24953.28,24538.890000000007,24815.15,24848.9,24860.28,24857.48
2025-10-03_0300,2025-10-03 04:55:00,BUY,SL_HIT,-14.75,3.25,20,24952.65,24907.15,25043.65,24952.65,24944.03,24945.53,24953.03
2025-10-03_1630,2025-10-03 16:55:00,SELL,TP_HIT,-35.37999999999738,55.37000000000262,20,24897.65,24956.53,24779.890000000007,24897.65,24864.65,24865.03,24901.4
2025-10-06_0300,2025-10-06 03:20:00,SELL,SL_HIT,-17.25,7.5,16,24853.85,24869.35,24822.85,24853.85,24851.35,24850.98,24857.48
2025-10-06_1000,2025-10-06 10:20:00,SELL,TP_HIT,-13.869999999998981,42.25,5,24883.48,24900.35,24849.74,24883.48,24880.35,24870.48,
2025-10-07_0300,2025-10-07 05:05:00,BUY,SL_HIT,-9.75,14.87000000000262,20,24943.28,24922.78,24984.28,24943.28,24939.15,24940.03,24942.4
2025-10-07_1000,2025-10-07 11:50:00,BUY,TP_HIT,-12.369999999998981,22.5,20,24962.1,24934.15,25017.999999999996,24962.1,24964.23,24979.1,24982.85
2025-10-07_1630,2025-10-07 17:25:00,SELL,TP_HIT,-21.88000000000102,159.61999999999898,9,25006.1,25054.98,24908.34,25006.1,24991.1,24985.35,
2025-10-08_0300,2025-10-08 03:35:00,BUY,TP_HIT,-8.380000000001019,37.61999999999898,20,24847.48,24828.23,24885.98,24847.48,24854.73,24861.85,24875.48
2025-10-08_1000,2025-10-08 10:20:00,BUY,TP_HIT,-13.25,46.63000000000102,20,24865.35,24840.85,24914.35,24865.35,24870.1,24880.23,24883.6
2025-10-08_1630,2025-10-08 16:45:00,BUY,TP_HIT,-33.13000000000102,64.36999999999898,20,24961.98,24874.85,25136.24,24961.98,24972.85,25009.85,25008.1
2025-10-09_0300,2025-10-09 03:15:00,SELL,TP_HIT,-6.75,34.38000000000102,13,25163.73,25180.23,25130.73,25163.73,25167.85,25165.98,25165.85
2025-10-09_1000,2025-10-09 10:30:00,SELL,TP_HIT,-16.5,36.5,20,25130.73,25150.23,25091.73,25130.73,25138.85,25142.48,25127.98
2025-10-09_1630,2025-10-09 17:25:00,SELL,SL_HIT,-26.150000000001455,56.36999999999898,20,25051.6,25133.48,24887.84,25051.6,25014.85,25034.23,25058.85
2025-10-10_0300,2025-10-10 04:20:00,BUY,SL_HIT,-12.75,6.0,20,25160.6,25136.98,25207.84,25160.6,25162.48,25156.35,25158.98
2025-10-10_1000,2025-10-10 11:05:00,BUY,SL_HIT,-39.11999999999898,12.130000000001019,12,25141.6,25114.1,25196.6,25141.6,25141.23,25139.23,25149.73
2025-10-10_1630,2025-10-10 17:55:00,SELL,TP_HIT,-151.1999999999971,374.3000000000029,6,25005.9,25188.23,24641.240000000005,25005.9,24809.98,24766.73,
2025-10-13_0300,2025-10-13 03:15:00,BUY,TP_HIT,-23.25,55.11999999999898,20,24625.23,24582.35,24710.99,24625.23,24613.1,24618.85,24654.1
2025-10-13_1000,2025-10-13 10:15:00,BUY,SL_HIT,-63.38000000000102,41.36999999999898,20,24729.73,24659.23,24870.73,24729.73,24757.98,24746.85,24730.85
2025-10-13_1630,2025-10-13 16:55:00,BUY,SL_HIT,-144.11999999999898,25.13000000000102,20,24711.6,24551.48,25031.84,24711.6,24727.1,24683.35,24657.48
2025-10-14_1000,2025-10-14 10:15:00,BUY,SL_HIT,-108.82999999999811,15.75,5,24532.48,24452.6,24692.24,24532.48,24529.1,24475.6,
