<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20250616,182000,19705.73,19710.76,19696.9,19696.9,49871940,0
^NDQ,5,20250616,182500,19697.71,19699.39,19691.05,19692.13,37216676,0
^NDQ,5,20250616,183000,19692.49,19696.53,19691.2,19692.96,64303325,0
^NDQ,5,20250616,183500,19692.02,19696.34,19684.38,19690.03,134976855,0
^NDQ,5,20250616,184000,19689.88,19689.88,19676.51,19676.51,101386021,0
^NDQ,5,20250616,184500,19675.51,19684.36,19672.93,19683.21,76028234,0
^NDQ,5,20250616,185000,19682.06,19702.01,19681.96,19697.81,63726537,0
^NDQ,5,20250616,185500,19697.55,19698.5,19684.93,19684.93,66535302,0
^NDQ,5,20250616,190000,19688.25,19693.1,19686.71,19688.6,130937513,0
^NDQ,5,20250616,190500,19689.56,19689.67,19680.99,19688.32,62192435,0
^NDQ,5,20250616,191000,19688.95,19690.52,19678.93,19681.27,40668126,0
^NDQ,5,20250616,191500,19681.3,19693.26,19677.46,19693.26,54700973,0
^NDQ,5,20250616,192000,19692.71,19703.91,19692.71,19703.25,47063690,0
^NDQ,5,20250616,192500,19702.76,19720.2,19701.91,19715.59,48759830,0
^NDQ,5,20250616,193000,19715.98,19722.54,19709.82,19713.38,38777536,0
^NDQ,5,20250616,193500,19714.31,19715.45,19708.58,19708.73,33552231,0
^NDQ,5,20250616,194000,19707.84,19715.27,19705.13,19705.13,39681481,0
^NDQ,5,20250616,194500,19704.64,19709.47,19702.48,19707.27,36554887,0
^NDQ,5,20250616,195000,19707.19,19710.38,19699.38,19699.38,36669595,0
^NDQ,5,20250616,195500,19695.42,19695.42,19679.87,19684.57,44894893,0
^NDQ,5,20250616,200000,19684.56,19695.77,19684.56,19695.37,32930024,0
^NDQ,5,20250616,200500,19695.41,19699.94,19688.79,19690.36,32674128,0
^NDQ,5,20250616,201000,19688.59,19692.6,19685.87,19692.6,34194247,0
^NDQ,5,20250616,201500,19693.19,19694.96,19689.93,19692.37,31445482,0
^NDQ,5,20250616,202000,19692.91,19699.79,19684.96,19699.79,37680814,0
^NDQ,5,20250616,202500,19700.73,19701.32,19694.75,19695.05,27788063,0
^NDQ,5,20250616,203000,19696.65,19696.65,19684.13,19687.26,30584002,0
