WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,is_win
2025-05-08_0300,300,BREAKOUT,SELL,2025-05-08 03:20:00,2025-05-08 04:50:00,191.121,191.348,191.348,190.667,0.2270000000000038,-0.2270000000000038,-1.0,SL_HIT,0.039999999999992,0.7692307692307272,0.4506057551137835,0.1870000000000118,191.2545,-0.1334999999999979,2.10658190515749,0,0.0887693944119545,191.1858691533565,191.1634241031861,191.1431342192008,191.1620396660876,191.07895199998015,0.0887693944119545,0.0464466983805832,1.3786291029204358,0.0,1.0,0,0,0,1,300,191.348,191.161,GBPJPY,False
2025-05-08_1000,1000,BREAKOUT,BUY,2025-05-08 11:00:00,2025-05-08 14:00:00,191.894,192.43,191.626,192.43,0.2680000000000007,0.5360000000000014,2.0,TP_HIT,0.046999999999997,0.5974842767295834,0.4722178840716895,0.2210000000000036,191.7365,0.1574999999999988,2.220428774039397,1,0.0995303261171314,191.81350910760085,191.77226716041048,191.69722849963705,191.43902782983068,191.1291691144935,0.0995303261171314,0.0518673466169507,0.9879299408118856,0.0,1.0,0,0,1,1,1000,191.847,191.626,GBPJPY,True
2025-05-08_1630,1630,BREAKOUT,SELL,2025-05-08 16:45:00,2025-05-08 16:50:00,192.65,192.772,192.772,192.40600000000003,0.1219999999999856,-0.1219999999999856,-1.0,SL_HIT,0.0049999999999954,0.4774774774774959,0.0463463672164606,0.1169999999999902,192.7135,-0.0635000000000047,1.084504992866075,1,0.1078833207496708,192.7228896982062,192.7402979069228,192.5972715114017,191.98151119026312,191.19553564150445,0.1078833207496708,0.0559996474174258,0.8087018639032344,0.5,0.6666666666666666,0,1,1,1,1630,192.772,192.655,GBPJPY,False
2025-05-09_0300,300,BREAKOUT,SELL,2025-05-09 03:45:00,2025-05-09 18:55:00,192.943,193.252,193.252,192.325,0.3089999999999975,-0.3089999999999975,-1.0,SL_HIT,0.0300000000000011,0.6836158192089606,0.2665653645185257,0.2789999999999963,193.1125,-0.1694999999999993,2.479057890022163,1,0.1125427530849237,193.07666025168243,193.12836966663085,193.16107752144904,192.8560376248284,191.4023036307252,0.1125427530849237,0.0583295341551254,1.3070286391683072,0.0,0.3333333333333333,0,0,1,1,300,193.252,192.973,GBPJPY,False
2025-05-09_1630,1630,BREAKOUT,BUY,2025-05-09 19:00:00,2025-05-12 04:25:00,193.22,194.186,192.737,194.186,0.4830000000000041,0.9660000000000082,2.0,TP_HIT,0.3209999999999979,0.4736842105263748,3.759096391862746,0.1620000000000061,192.818,0.4020000000000152,1.8971140669214692,1,0.0853928621502926,193.14303828130528,193.0465331887628,192.9403247763436,192.79924274646444,191.60623319441197,0.0853928621502926,0.0441946289981848,0.9511771511225088,0.0,1.0,0,0,1,1,1630,192.899,192.737,GBPJPY,True
2025-05-12_0300,300,BREAKOUT,BUY,2025-05-12 04:30:00,2025-05-12 05:30:00,194.119,193.643,193.643,195.071,0.4759999999999991,-0.4759999999999991,-1.0,SL_HIT,0.3139999999999929,0.9130434782608516,2.881779495566399,0.1620000000000061,193.724,0.3950000000000102,1.4867779563114163,1,0.108960453248793,194.03524865280565,193.9290520855768,193.80250975475693,193.3769193872215,191.79365223771865,0.108960453248793,0.0561307513683838,1.097573788435666,0.0,1.0,0,0,1,1,300,193.805,193.643,GBPJPY,False
2025-05-12_1000,1000,BREAKOUT,BUY,2025-05-12 10:25:00,2025-05-13 15:50:00,194.724,195.96599999999995,194.103,195.96599999999995,0.6209999999999809,1.2419999999999618,2.0,TP_HIT,0.079999999999984,0.5,0.4422748330140524,0.5409999999999968,194.3735,0.3504999999999825,2.990883558258107,1,0.180883003120013,194.45037992767635,194.25785928256497,194.0601360867218,193.6693365645854,191.922725010393,0.180883003120013,0.0928919923173378,1.756972844694848,0.0,1.0,0,0,1,1,1000,194.644,194.103,GBPJPY,True
2025-05-13_1630,1630,BREAKOUT,BUY,2025-05-13 17:20:00,2025-05-13 18:25:00,195.726,196.276,195.451,196.276,0.2750000000000057,0.5500000000000114,2.0,TP_HIT,0.0089999999999861,0.1749999999998815,0.0779613951699045,0.2660000000000195,195.584,0.1419999999999959,2.304192346136456,1,0.1154417513998056,195.6615347872076,195.6744671953108,195.6401307939675,195.3900396621424,192.83949755477832,0.1154417513998056,0.0589813062136893,0.8988966537432627,0.0,0.6666666666666666,0,0,1,1,1630,195.717,195.451,GBPJPY,True
2025-05-14_0300,300,BREAKOUT,SELL,2025-05-14 03:50:00,2025-05-14 07:30:00,196.111,195.56699999999995,196.383,195.56699999999995,0.2720000000000198,0.5440000000000396,2.0,TP_HIT,0.0889999999999986,0.5974576271187523,0.9482325604852724,0.1830000000000211,196.2915,-0.180499999999995,1.949736613132894,1,0.0938588313761884,196.2253901512263,196.22188900326677,196.19220308659052,195.95134654602356,193.15804809665676,0.0938588313761884,0.0478600544468125,1.4439687674441066,0.0,1.0,0,0,1,1,300,196.383,196.2,GBPJPY,True
2025-05-14_1000,1000,BREAKOUT,SELL,2025-05-14 10:25:00,2025-05-14 10:40:00,195.651,195.83,195.83,195.293,0.179000000000002,-0.179000000000002,-1.0,SL_HIT,0.0409999999999968,0.6666666666665088,0.456606656012433,0.1380000000000052,195.761,-0.1100000000000136,1.5368711836517814,0,0.0897928215897063,195.7119748814885,195.675129501889,195.681624388598,195.8105161339627,193.3318968593499,0.0897928215897063,0.0458943841788216,1.0265548744465909,0.0,0.6666666666666666,0,0,0,1,1000,195.83,195.692,GBPJPY,False
